"Table 6b. Completed primary immunisations in children aged 5 years in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 5 years,Number aged 5 years vaccinated DTaP/IPV/Hib/HepB Prim vaccinated,Number aged 5 years vaccinated MMR1,Number aged 5 years vaccinated DTaP/IPV booster,Number aged 5 years vaccinated Hib/MenC booster,Number aged 5 years vaccinated MMR2
E08000021,Newcastle upon Tyne,North East,107,[z],3159,2880,2912,2600,2697,2663
E08000022,North Tyneside,North East,108,[z],2189,2097,2108,1987,2052,2026
E06000001,Hartlepool,North East,111,[z],1046,974,977,860,927,882
E06000002,Middlesbrough,North East,112,[z],1940,1758,1770,1559,1598,1601
E06000003,Redcar and Cleveland,North East,113,[z],1393,1316,1333,1203,1291,1243
E06000004,Stockton-on-Tees,North East,114,[z],2222,2084,2123,1925,2038,1982
E06000047,County Durham,North East,116,[z],5185,5056,5027,4856,4906,4882
E06000005,Darlington,North East,117,[z],1140,1075,1075,996,1004,1013
E12000002,[z],North West,[z],[z],88200,82390,81979,73503,80747,75467
E10000006,Cumbria,North West,102,[z],4669,4464,4536,4403,4530,4402
E08000001,Bolton,North West,304,[z],4139,3893,3877,3513,3836,3635
E08000002,Bury,North West,305,[z],2389,2236,2241,1961,2192,2069
E08000003,Manchester,North West,306,[z],8069,7029,6968,5668,6812,6014
E08000004,Oldham,North West,307,[z],3274,3076,3034,2659,2987,2759
E08000005,Rochdale,North West,308,[z],3153,2944,2968,2651,2907,2725
E08000006,Salford,North West,309,[z],3719,3385,3377,2900,3271,3033
E08000007,Stockport,North West,310,[z],3555,3406,3401,3125,3365,3253
E08000008,Tameside,North West,311,[z],2722,2555,2543,2225,2510,2290
E08000009,Trafford,North West,312,[z],2755,2624,2634,2417,2590,2491
E08000010,Wigan,North West,313,[z],3779,3575,3580,3321,3510,3396
E08000011,Knowsley,North West,315,[z],2040,1876,1797,1543,1769,1568
E08000012,Liverpool,North West,316,[z],6162,5464,5347,4544,5238,4654
E08000014,Sefton,North West,317,[z],2749,2630,2582,2305,2564,2332
E08000013,St. Helens,North West,318,[z],2015,1931,1902,1737,1889,1761
E08000015,Wirral,North West,319,[z],3508,3370,3329,3084,3297,3121
E06000006,Halton,North West,321,[z],1457,1388,1374,1275,1362,1285
E06000007,Warrington,North West,322,[z],2356,2229,2246,2102,2225,2143
E10000017,Lancashire,North West,323,[z],13304,12523,12490,11248,12301,11515
E06000008,Blackburn with Darwen,North West,324,[z],2296,2132,2145,1853,2080,1921
E06000009,Blackpool,North West,325,[z],1821,1724,1731,1558,1702,1592
E06000049,Cheshire East,North West,326,[z],4447,4264,4235,3995,4203,4049
E06000050,Cheshire West and Chester,North West,327,[z],3822,3672,3642,3416,3607,3459
E12000008,[z],South East,[z],[z],106259,100556,99646,91638,97091,93135
E10000025,Oxfordshire,South East,608,[z],8262,7941,7876,7376,7766,7522
E06000042,Milton Keynes,South East,613,[z],3748,3455,3491,3219,3320,3311
E06000036,Bracknell Forest,South East,614,[z],1557,1514,1488,1384,1480,1411
E06000037,West Berkshire,South East,615,[z],1624,1582,1568,1494,1558,1514
E06000038,Reading,South East,616,[z],2660,2511,2447,2223,2391,2285
E06000039,Slough,South East,617,[z],2547,2389,2324,2143,2288,2158
E06000040,Windsor and Maidenhead,South East,618,[z],1761,1703,1686,1574,1665,1606
